season,round,pick,team,pfr_player_id,pfr_player_name,college,position,position_rank,ht,wt,forty,bench,vertical,broad_jump,cone,shuttle,unique_id,college_carries,college_tds,college_yards,college_long,college_ypc,pfr_id,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,receptions,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,fantasy_points
2016,7,242,WAS,MarsKe00,Keith Marshall,Georgia,RB,RB19,5-11,219.0,4.31,25.0,30.5,,,,keithmarshallrbgeorgia,253.0,12.0,1379.0,75.0,5.5,MarsKe00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,7,247,SEA,BrooZa00,Zac Brooks,Clemson,RB,RB20,,,,,,,,,zacbrooksrbclemson,115.0,5.0,599.0,35.0,5.2,BrooZa00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,1,4,JAX,FourLe00,Leonard Fournette,LSU,RB,RB1,6-0,240.0,4.51,,28.5,,,,leonardfournetterblsu,616.0,40.0,3830.0,89.0,6.2,FourLe00,268.0,1040.0,9.0,2.0,0.0,36.0,302.0,1.0,0.0,0.0,230.2
2017,1,8,CAR,McCaCh01,Christian McCaffrey,Stanford,RB,RB2,5-11,202.0,4.48,10.0,37.5,121.0,6.57,4.22,christianmccaffreyrbstanford,632.0,21.0,3922.0,90.0,6.2,McCaCh01,117.0,435.0,2.0,1.0,1.0,80.0,651.0,5.0,0.0,0.0,228.6
2017,2,41,MIN,CookDa01,Dalvin Cook,Florida St.,RB,RB3,5-10,210.0,4.49,22.0,30.5,116.0,7.27,4.53,dalvincookrbfloridast,687.0,46.0,4464.0,94.0,6.5,CookDa01,74.0,354.0,2.0,1.0,1.0,11.0,90.0,0.0,0.0,0.0,65.4
2017,2,48,CIN,MixoJo00,Joe Mixon,Oklahoma,RB,RB4,,,,,,,,,joemixonrboklahoma,300.0,17.0,2027.0,79.0,6.8,MixoJo00,178.0,626.0,4.0,1.0,1.0,30.0,287.0,0.0,2.0,1.0,141.3
2017,3,67,NOR,KamaAl00,Alvin Kamara,Tennessee,RB,RB5,5-10,214.0,4.56,15.0,39.5,131.0,,,alvinkamararbtennessee,210.0,16.0,1294.0,63.0,6.2,KamaAl00,120.0,728.0,8.0,1.0,1.0,81.0,826.0,5.0,0.0,0.0,312.4
2017,3,86,KAN,HuntKa00,Kareem Hunt,Toledo,RB,RB6,5-10,216.0,4.62,18.0,36.5,119.0,,,kareemhuntrbtoledo,782.0,44.0,4945.0,91.0,6.3,HuntKa00,272.0,1327.0,8.0,1.0,1.0,53.0,455.0,3.0,0.0,0.0,295.2
2017,3,89,HOU,ForeDO00,D'Onta Foreman,Texas,RB,RB7,6-0,233.0,,18.0,,,,,dontaforemanrbtexas,434.0,20.0,2783.0,93.0,6.4,ForeDO00,78.0,327.0,2.0,2.0,1.0,6.0,83.0,0.0,0.0,0.0,57.0
2017,3,105,PIT,ConnJa00,James Conner,Pittsburgh,RB,RB8,6-1,233.0,4.65,20.0,29.0,113.0,,,jamesconnerrbpittsburgh,668.0,52.0,3733.0,75.0,5.6,ConnJa00,32.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4
2017,4,114,WAS,PeriSa00,Samaje Perine,Oklahoma,RB,RB9,5-11,233.0,4.65,30.0,33.0,116.0,7.26,4.37,samajeperinerboklahoma,685.0,49.0,4122.0,72.0,6.0,PeriSa00,175.0,603.0,1.0,2.0,2.0,22.0,182.0,1.0,0.0,0.0,108.5
2017,4,119,CHI,CoheTa00,Tarik Cohen,North Carolina A&T,RB,RB10,5-6,179.0,4.42,11.0,31.5,118.0,,,tarikcohenrbnorthcarolinaat,43.0,1.0,218.0,25.0,5.1,CoheTa00,87.0,370.0,2.0,2.0,1.0,53.0,353.0,1.0,0.0,0.0,141.3
2017,4,121,SFO,WillJo12,Joe Williams,Utah,RB,RB11,5-11,210.0,4.41,14.0,35.0,125.0,7.19,4.19,joewilliamsrbutah,348.0,14.0,2063.0,82.0,5.9,WillJo12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,4,132,PHI,PumpDo00,Donnel Pumphrey,San Diego St.,RB,RB12,5-8,176.0,4.48,5.0,33.5,117.0,,,donnelpumphreyrbsandiegost,1059.0,62.0,6405.0,93.0,6.0,PumpDo00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
